,Tag,Response
0,greeting,Hey :-)
1,greeting,"Hello, thanks for visiting"
2,greeting,"Hi there, what can I do for you?"
3,greeting,"Hi there, how can I help?"
4,goodbye,"See you later, thanks for visiting"
5,goodbye,Have a nice day
6,goodbye,Bye! Come back again soon.
7,thanks,Happy to help!
8,thanks,Any time!
9,thanks,My pleasure
10,items,We sell coffee and tea
11,items,We have coffee and tea
12,payments,"We accept VISA, Mastercard and Paypal"
13,payments,"We accept most major credit cards, and Paypal"
14,delivery,Delivery takes 2-4 days
15,delivery,Shipping takes 2-4 days
16,funny,Why did the hipster burn his mouth? He drank the coffee before it was cool.
17,funny,What did the buffalo say when his son left for college? Bison.
